Player_Name,Position_ID,Shots,Makes,Pass,Accuracy,Personal_Rating,Goals,Assists,Fouls,Yellow_Card,Red_Card,Years_Pro,Team_Value
Jack Peter,3,1.080000,0.500000,53.420000,55.010000,6.220000,12,23,11,1,3,12
Mikhail Egorov,1,1.940000,0.640000,95.700000,84.930000,4.710000,22,3,59,12,1,6
Alinur Amangeldi,8,2.660000,0.400000,72.170000,75.940000,7.760000,18,23,2,13,3,0
Boris Egorov,8,3.570000,0.540000,105.260000,38.480000,9.720000,18,1,16,9,1,11
Sanzhar Kusainov,7,4.370000,0.500000,67.200000,74.810000,8.160000,16,2,1,11,0,2
Robert Matthew,4,1.010000,0.620000,64.720000,37.330000,9.260000,0,4,39,1,0,0
Tyler David,10,3.130000,0.760000,86.170000,71.450000,7.880000,2,20,61,7,2,10
George Donald,10,1.220000,0.550000,56.600000,54.220000,8.370000,20,7,36,6,0,1
Nikita Volkov,7,1.230000,0.490000,26.960000,88.620000,9.890000,3,3,37,4,2,3
Erasyl Sultanov,0,3.970000,0.470000,29.800000,71.610000,6.130000,20,23,16,3,1,10
Joshua Larry,9,1.460000,0.360000,36.410000,76.930000,4.790000,24,17,67,9,0,6
Igor Egorov,0,5.460000,0.690000,22.200000,57.870000,5.170000,22,19,62,12,1,0
Henry Ethan,5,1.270000,0.460000,79.020000,60.600000,5.190000,11,21,45,2,3,2
Ethan Jacob,10,1.550000,0.750000,104.150000,95.200000,8.450000,4,5,5,3,2,2
Aisultan Ibraev,2,5.010000,0.720000,42.590000,32.380000,5.830000,16,18,16,1,0,6
Thomas Samuel,7,1.760000,0.480000,32.480000,68.820000,6.840000,19,14,25,6,0,2
Boris Alekseev,0,5.420000,0.670000,17.190000,74.480000,8.740000,13,1,6,10,1,3
Erasyl Murat,5,1.960000,0.590000,72.560000,44.680000,7.760000,10,10,12,1,4,2
Lev Zakharov,9,2.780000,0.640000,65.510000,36.230000,7.570000,6,1,8,11,2,11
Leonid Pavlov,0,4.620000,0.290000,88.710000,62.070000,9.780000,20,4,36,13,4,1
Alexander Peter,2,0.990000,0.780000,102.300000,58.630000,4.330000,12,23,52,13,4,14
Nikita Pavlov,1,3.770000,0.680000,10.350000,58.490000,5.300000,23,22,29,7,2,0
Nikolai Popov,4,3.320000,0.750000,38.300000,39.390000,6.300000,0,9,43,6,0,7
Robert Dustin,3,2.960000,0.630000,25.160000,96.410000,6.280000,9,14,55,6,2,14
Ramazan Ibraev,8,3.890000,0.720000,31.350000,52.200000,6.450000,21,11,23,7,4,8
Alikhan Amangeldi,7,2.130000,0.380000,23.790000,75.890000,8.730000,0,12,11,4,1,1
Muslim Ibragimov,10,2.550000,0.400000,60.220000,67.530000,7.040000,1,7,13,0,4,9
Alikhan Murat,5,1.790000,0.800000,100.880000,68.310000,7.750000,0,0,53,0,0,0
Luka Pavlov,2,3.940000,0.560000,44.220000,50.680000,9.470000,2,13,49,11,3,12
Islam Omarov,1,5.090000,0.750000,59.650000,95.380000,6.960000,11,7,50,9,4,6
Ali Sultanov,5,5.110000,0.210000,41.400000,90.490000,6.180000,5,14,50,7,2,8
William Alexander,10,4.140000,0.520000,46.630000,53.840000,4.260000,13,4,20,5,1,12
Viktor Fedorov,9,4.040000,0.220000,24.250000,80.680000,6.140000,3,0,26,1,3,13
